ITEM,ID,IMAGEM,,Champion,NAME S1,DESCR S1,S1I1,S1I2,S1I3,ID S1I1,ID S1I2,ID S1I3,CONC,NAME S2,DESCR S2,S2I1,S2I2,S2I3,ID S2I1,ID S2I2,ID S2I3,CONC,CODE,Tabulado,,,,Teste,Minimo,Máximo
B. F. Sword,1,,,Aatrox,"""Attack Speed / Splash Damage / Survivability""","""Item set focused on attack speed, splash damage and survivability""",Statikk Shiv,Phantom Dancer,Dragon's Claw,24,25,66,"[24,25,66]","""Attack Speed / Life Steal / Survivability""","""Item set focused on attack speed, life steal from attacks and survivability""",The Bloodthirster,Dragon's Claw,Phantom Dancer,16,66,25,"[16,66,25]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Splash Damage / Survivability"",
          ""description"": ""Item set focused on attack speed, splash damage and survivability"",
          ""items"": [24,25,66]
        },
        {
          ""name"": ""Attack Speed / Life Steal / Survivability"",
          ""description"": ""Item set focused on attack speed, life steal from attacks and survivability"",
          ""items"": [16,66,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Splash Damage / Survivability"",
          ""description"": ""Item set focused on attack speed, splash damage and survivability"",
          ""items"": [24,25,66]
        },
        {
          ""name"": ""Attack Speed / Life Steal / Survivability"",
          ""description"": ""Item set focused on attack speed, life steal from attacks and survivability"",
          ""items"": [16,66,25]
        }
      ]",,P1,"""bestSets"": [
        {
          ""name"": ",,,
Blade of the Ruined King,28,,,Ahri,"""Splash Damage / Spell Damage / Attack Speed""","""Item set focused on attack speed, splash damage and spell damage, besides mana on combat's start""",Luden's Echo,Guinsoo's Rageblade,Spear of Shojin,34,23,14,"[34,23,14]","""Ability Damage /  Mana Generation / Attack Speed""","""Item set focused on spell / ability damage, mana generation and attack speed""",Spear of Shojin,Guinsoo's Rageblade,Rabadon's Deathcap,14,23,33,"[14,23,33]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Spell Damage / Attack Speed"",
          ""description"": ""Item set focused on attack speed, splash damage and spell damage, besides mana on combat's start"",
          ""items"": [34,23,14]
        },
        {
          ""name"": ""Ability Damage /  Mana Generation / Attack Speed"",
          ""description"": ""Item set focused on spell / ability damage, mana generation and attack speed"",
          ""items"": [14,23,33]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Spell Damage / Attack Speed"",
          ""description"": ""Item set focused on attack speed, splash damage and spell damage, besides mana on combat's start"",
          ""items"": [34,23,14]
        },
        {
          ""name"": ""Ability Damage /  Mana Generation / Attack Speed"",
          ""description"": ""Item set focused on spell / ability damage, mana generation and attack speed"",
          ""items"": [14,23,33]
        }
      ]",,P2,",
          ""description"": ",,,
Chain Vest,5,,,Akali,"""Mana Generation / Ability Damage"" ","""Item set focused on strong mana generation and spell / ability damage""",Spear of Shojin,Seraph's Embrace,Rabadon's Deathcap,14,44,33,"[14,44,33]","""Mana Generation / Ability Damage"" ","""Item set focused on mana generation, spell / ability damage and some survivability""",Seraph's Embrace,Phantom Dancer,Rabadon's Deathcap,44,25,33,"[44,25,33]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Ability Damage"" ,
          ""description"": ""Item set focused on strong mana generation and spell / ability damage"",
          ""items"": [14,44,33]
        },
        {
          ""name"": ""Mana Generation / Ability Damage"" ,
          ""description"": ""Item set focused on mana generation, spell / ability damage and some survivability"",
          ""items"": [44,25,33]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Mana Generation / Ability Damage"" ,
          ""description"": ""Item set focused on strong mana generation and spell / ability damage"",
          ""items"": [14,44,33]
        },
        {
          ""name"": ""Mana Generation / Ability Damage"" ,
          ""description"": ""Item set focused on mana generation, spell / ability damage and some survivability"",
          ""items"": [44,25,33]
        }
      ]",,P3,",
          ""items"": ",,,
Cursed Blade,26,,,Anivia,"""Ability Damage /  Attack Speed / Burn Damage"" ","""Item set focused on spell / ability damage, attack speed and burn damage on spells""",Morellonomicon,Rabadon's Deathcap,Guinsoo's Rageblade,37,33,23,"[37,33,23]","""Ability Damage /  Mana Generation / Attack Speed""","""Item set focused on spell / ability damage, mana generation and attack speed""",Spear of Shojin,Rabadon's Deathcap,Guinsoo's Rageblade,14,33,23,"[14,33,23]","""bestSets"": [
        {
          ""name"": ""Ability Damage /  Attack Speed / Burn Damage"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and burn damage on spells"",
          ""items"": [37,33,23]
        },
        {
          ""name"": ""Ability Damage /  Mana Generation / Attack Speed"",
          ""description"": ""Item set focused on spell / ability damage, mana generation and attack speed"",
          ""items"": [14,33,23]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Ability Damage /  Attack Speed / Burn Damage"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and burn damage on spells"",
          ""items"": [37,33,23]
        },
        {
          ""name"": ""Ability Damage /  Mana Generation / Attack Speed"",
          ""description"": ""Item set focused on spell / ability damage, mana generation and attack speed"",
          ""items"": [14,33,23]
        }
      ]",,P4,"
        },
        {
          ""name"": ",,,
Darkin,48,,,Ashe,"""Splash Damage / Mana Generation / Attack Speed""","""Item set focused on splash damage, mana generation and attack speed""",Statikk Shiv,Seraph's Embrace,Guinsoo's Rageblade,24,44,23,"[24,44,23]","""Mana Generation / Attack Speed""","""Item set focused on strong mana generation, attack damage and attack speed""",Spear of Shojin,Spear of Shojin,Rapid Firecannon,14,14,22,"[14,14,22]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Mana Generation / Attack Speed"",
          ""description"": ""Item set focused on splash damage, mana generation and attack speed"",
          ""items"": [24,44,23]
        },
        {
          ""name"": ""Mana Generation / Attack Speed"",
          ""description"": ""Item set focused on strong mana generation, attack damage and attack speed"",
          ""items"": [14,14,22]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Mana Generation / Attack Speed"",
          ""description"": ""Item set focused on splash damage, mana generation and attack speed"",
          ""items"": [24,44,23]
        },
        {
          ""name"": ""Mana Generation / Attack Speed"",
          ""description"": ""Item set focused on strong mana generation, attack damage and attack speed"",
          ""items"": [14,14,22]
        }
      ]",,P5,",
          ""description"": ",,,
Dragon's Claw,66,,,Aurelion Sol,"""Ability Damage /  Attack Speed / Mana Generation"" ","""Item set focused on spell / ability damage, attack speed and mana generation""",Spear of Shojin,Rabadon's Deathcap,Guinsoo's Rageblade,14,33,23,"[14,33,23]","""Ability Damage /  Attack Speed / Mana Generation"" ","""Item set focused on spell / ability damage, attack speed and mana generation""",Spear of Shojin,Guinsoo's Rageblade,Rabadon's Deathcap,14,23,33,"[14,23,33]","""bestSets"": [
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [14,33,23]
        },
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [14,23,33]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [14,33,23]
        },
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [14,23,33]
        }
      ]",,P6,",
          ""items"": ",,,
Force of Nature,88,,,Blitzcrank,"""Survivability / Buffer / Debbufer""","""Item set focused on survivability, buff allies and debuff enemies""",Dragon's Claw,Frozen Heart,Zeke's Herald,66,45,17,"[66,45,17]","""Ability Damage /  Attack Speed / Mana Generation"" ","""Item set focused on spell / ability damage, attack speed and mana generation""",Guinsoo's Rageblade,Spear of Shojin,Rabadon's Deathcap,23,14,33,"[23,14,33]","""bestSets"": [
        {
          ""name"": ""Survivability / Buffer / Debbufer"",
          ""description"": ""Item set focused on survivability, buff allies and debuff enemies"",
          ""items"": [66,45,17]
        },
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [23,14,33]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Buffer / Debbufer"",
          ""description"": ""Item set focused on survivability, buff allies and debuff enemies"",
          ""items"": [66,45,17]
        },
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [23,14,33]
        }
      ]",,P7,"
        }
      ]",,,
Frozen Heart,45,,,Brand,"""Ability Damage / Attack Speed / Life steal""","""Item set focused on spell / ability damage, attack speed and life steal""",Rabadon's Deathcap,Hextech Gunblade,Guinsoo's Rageblade,33,13,23,"[33,13,23]","""Ability Damage /  Attack Speed / Mana Generation"" ","""Item set focused on spell / ability damage, attack speed and mana generation""",Spear of Shojin,Guinsoo's Rageblade,Rabadon's Deathcap,14,23,33,"[14,23,33]","""bestSets"": [
        {
          ""name"": ""Ability Damage / Attack Speed / Life steal"",
          ""description"": ""Item set focused on spell / ability damage, attack speed and life steal"",
          ""items"": [33,13,23]
        },
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [14,23,33]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Ability Damage / Attack Speed / Life steal"",
          ""description"": ""Item set focused on spell / ability damage, attack speed and life steal"",
          ""items"": [33,13,23]
        },
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [14,23,33]
        }
      ]",,,,,,
Frozen Mallet,78,,,Braum,"""Survivability / Buffer / Debuffer / Disable""","""Item set focused on survivability, buff allies, debuff enemies and disable one enemy on start of combat""",Zeke's Herald,Zephyr,Locket of the Iron Solari,17,67,35,"[17,67,35]","""Survivability / Buffer / Debuffer""","""Item set focused on survivability, buff allies and  debuff enemies""",Frozen Heart,Locket of the Iron Solari,Zeke's Herald,45,35,17,"[45,35,17]","""bestSets"": [
        {
          ""name"": ""Survivability / Buffer / Debuffer / Disable"",
          ""description"": ""Item set focused on survivability, buff allies, debuff enemies and disable one enemy on start of combat"",
          ""items"": [17,67,35]
        },
        {
          ""name"": ""Survivability / Buffer / Debuffer"",
          ""description"": ""Item set focused on survivability, buff allies and  debuff enemies"",
          ""items"": [45,35,17]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Buffer / Debuffer / Disable"",
          ""description"": ""Item set focused on survivability, buff allies, debuff enemies and disable one enemy on start of combat"",
          ""items"": [17,67,35]
        },
        {
          ""name"": ""Survivability / Buffer / Debuffer"",
          ""description"": ""Item set focused on survivability, buff allies and  debuff enemies"",
          ""items"": [45,35,17]
        }
      ]",,,,,,
Giant's Belt,7,,,Cho'gath,"""Survivability / Splash Damage""","""Item set focused on heavy HP survivability (max HP and HP regen) and splash damage based on max HP""",Titanic Hydra,Warmog's Armor,Warmog's Armor,27,77,77,"[27,77,77]","""Survivability / Debuffer""","""Item set focused on survivability and  debuff enemies and some attack speed""",Frozen Heart,Dragon's Claw,Phantom Dancer,45,66,25,"[45,66,25]","""bestSets"": [
        {
          ""name"": ""Survivability / Splash Damage"",
          ""description"": ""Item set focused on heavy HP survivability (max HP and HP regen) and splash damage based on max HP"",
          ""items"": [27,77,77]
        },
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and  debuff enemies and some attack speed"",
          ""items"": [45,66,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Splash Damage"",
          ""description"": ""Item set focused on heavy HP survivability (max HP and HP regen) and splash damage based on max HP"",
          ""items"": [27,77,77]
        },
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and  debuff enemies and some attack speed"",
          ""items"": [45,66,25]
        }
      ]",,,,,,
Guardian Angel,15,,,Darius,"""Survivability / Life Steal / Buffer / Debuffer""","""Item set focused on survivability, buff allies, debuff enemies and life steal""",Hextech Gunblade,Locket of the Iron Solari,Frozen Heart,13,35,45,"[13,35,45]","""Survivability / Debuffer""","""Item set focused on survivability and  debuff enemies and some attack speed""",Frozen Heart,Dragon's Claw,Phantom Dancer,45,66,25,"[45,66,25]","""bestSets"": [
        {
          ""name"": ""Survivability / Life Steal / Buffer / Debuffer"",
          ""description"": ""Item set focused on survivability, buff allies, debuff enemies and life steal"",
          ""items"": [13,35,45]
        },
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and  debuff enemies and some attack speed"",
          ""items"": [45,66,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Life Steal / Buffer / Debuffer"",
          ""description"": ""Item set focused on survivability, buff allies, debuff enemies and life steal"",
          ""items"": [13,35,45]
        },
        {
          ""name"": ""Survivability / Debuffer"",
          ""description"": ""Item set focused on survivability and  debuff enemies and some attack speed"",
          ""items"": [45,66,25]
        }
      ]",,,,,,
Guinsoo's Rageblade,23,,,Draven,"""Attack Speed / Life Steal""","""Item set focused on strong attack speed, attack range and life steal""",Guinsoo's Rageblade,Rapid Firecannon,The Bloodthirster,23,22,16,"[23,22,16]","""Attack Speed / Critical Damage / Spell Damage""","""Item set focused on strong attack speed, critical damage and spell damage""",Guinsoo's Rageblade,Infinity Edge,Rapid Firecannon,23,11,22,"[23,11,22]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Life Steal"",
          ""description"": ""Item set focused on strong attack speed, attack range and life steal"",
          ""items"": [23,22,16]
        },
        {
          ""name"": ""Attack Speed / Critical Damage / Spell Damage"",
          ""description"": ""Item set focused on strong attack speed, critical damage and spell damage"",
          ""items"": [23,11,22]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Attack Speed / Life Steal"",
          ""description"": ""Item set focused on strong attack speed, attack range and life steal"",
          ""items"": [23,22,16]
        },
        {
          ""name"": ""Attack Speed / Critical Damage / Spell Damage"",
          ""description"": ""Item set focused on strong attack speed, critical damage and spell damage"",
          ""items"": [23,11,22]
        }
      ]",,,,,,
Hextech Gunblade,13,,,Elise,"""Splash Damage / Survivability""","""Item set focused on strong splash damage and survivability (HP)""",Statikk Shiv,Titanic Hydra,Warmog's Armor,24,27,77,"[24,27,77]","""Survivability / Attack Speed""","""Item set focused on survivability, attack speed and max HP damage""",Titanic Hydra,Dragon's Claw,Phantom Dancer,27,66,25,"[27,66,25]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Survivability"",
          ""description"": ""Item set focused on strong splash damage and survivability (HP)"",
          ""items"": [24,27,77]
        },
        {
          ""name"": ""Survivability / Attack Speed"",
          ""description"": ""Item set focused on survivability, attack speed and max HP damage"",
          ""items"": [27,66,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Survivability"",
          ""description"": ""Item set focused on strong splash damage and survivability (HP)"",
          ""items"": [24,27,77]
        },
        {
          ""name"": ""Survivability / Attack Speed"",
          ""description"": ""Item set focused on survivability, attack speed and max HP damage"",
          ""items"": [27,66,25]
        }
      ]",,,,,,
Hush,46,,,Evelynn,"""Splash Damage / Ability Damage / Life Steal""","""Item set focused on splash damage, life steal and ability / spell damage""",Luden's Echo,Hextech Gunblade,Rabadon's Deathcap,34,13,33,"[34,13,33]","""Ability Damage /  Attack Speed / Mana Generation"" ","""Item set focused on spell / ability damage, attack speed and mana generation""",Spear of Shojin,Guinsoo's Rageblade,Rabadon's Deathcap,14,23,33,"[14,23,33]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Ability Damage / Life Steal"",
          ""description"": ""Item set focused on splash damage, life steal and ability / spell damage"",
          ""items"": [34,13,33]
        },
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [14,23,33]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Splash Damage / Ability Damage / Life Steal"",
          ""description"": ""Item set focused on splash damage, life steal and ability / spell damage"",
          ""items"": [34,13,33]
        },
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [14,23,33]
        }
      ]",,,,,,
Infinity Edge,11,,,Fiora,"""Survivability / Attack Speed / Critical Damage""","""Item set focused on survivability (max HP and HP regen), attack speed and  critical damage""",Guinsoo's Rageblade,Sword of the Divine,Warmog's Armor,23,12,77,"[23,12,77]","""Survability / Mana Generation""","""Item set focused on survivability, mana generation and some attacks speed /attack damage""",Spear of Shojin,Dragon's Claw,Phantom Dancer,14,66,25,"[14,66,25]","""bestSets"": [
        {
          ""name"": ""Survivability / Attack Speed / Critical Damage"",
          ""description"": ""Item set focused on survivability (max HP and HP regen), attack speed and  critical damage"",
          ""items"": [23,12,77]
        },
        {
          ""name"": ""Survability / Mana Generation"",
          ""description"": ""Item set focused on survivability, mana generation and some attacks speed /attack damage"",
          ""items"": [14,66,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Survivability / Attack Speed / Critical Damage"",
          ""description"": ""Item set focused on survivability (max HP and HP regen), attack speed and  critical damage"",
          ""items"": [23,12,77]
        },
        {
          ""name"": ""Survability / Mana Generation"",
          ""description"": ""Item set focused on survivability, mana generation and some attacks speed /attack damage"",
          ""items"": [14,66,25]
        }
      ]",,,,,,
Ionic Spark,36,,,Gangplank,"""Ability Damage /  Attack Speed / Mana Generation"" ","""Item set focused on spell / ability damage, attack speed and mana generation""",Guinsoo's Rageblade,Spear of Shojin,Rabadon's Deathcap,23,14,33,"[23,14,33]","""Survability / Mana Generation""","""Item set focused on survivability, mana generation and some attacks speed /attack damage""",Spear of Shojin,Dragon's Claw,Phantom Dancer,14,66,25,"[14,66,25]","""bestSets"": [
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [23,14,33]
        },
        {
          ""name"": ""Survability / Mana Generation"",
          ""description"": ""Item set focused on survivability, mana generation and some attacks speed /attack damage"",
          ""items"": [14,66,25]
        }
      ]","""bestSets"": [
        {
          ""name"": ""Ability Damage /  Attack Speed / Mana Generation"" ,
          ""description"": ""Item set focused on spell / ability damage, attack speed and mana generation"",
          ""items"": [23,14,33]
        },
        {
          ""name"": ""Survability / Mana Generation"",
          ""description"": ""Item set focused on survivability, mana generation and some attacks speed /attack damage"",
          ""items"": [14,66,25]
        }
      ]",,,,,,
